20171023 015  0.99 0.92 0.93  0.92 0.83 0.81   ;  ;
20171023 016  0.87 0.98 0.97  0.89 1.11 1.07   ;  ;
20171023 017  0.79 0.82 0.80  0.86 0.80 1.11   ;  ;
20171023 018  0.99 1.05 1.19  1.03 0.97 0.89   ;  ;
20171023 019  0.88 0.87 1.02  0.92 0.89 1.07   ;  ;
20171023 020  0.84 1.03 0.85  0.96 0.91 0.99   ;  ;
20171023 021  0.92 1.01 1.01  0.94 1.04 0.90   ;  ;
20171024 007  0.98 1.22 1.12  1.22 1.11 1.07   ;  ;
20171024 008  0.95 1.52 1.71  1.69 1.47 1.70   ;  ;
20171024 009       1.20 1.31  1.40 1.15 1.43   ;  ;
20171024 010  1.61 1.99 1.46  1.80 1.71 2.17   ;  ;
20171025 007  2.04 1.72 1.18  1.82 1.26 1.42   ;  ;
20171025 008  1.44 1.19 1.42  1.19 1.25 1.08   ;  ;
20171025 009  1.45 1.27 1.62  1.27 1.35 1.70  field moved away; possible I bobbled; the wf sensing
20171025 010  1.45 1.36 1.42  1.46 1.31 2.04   ;  ;
20171025 011            1.48       1.52 1.35   ;  ;
20171025 012  1.34 0.93 0.97  0.93 0.95 1.02   ;  ;
20171025 013  0.90 0.95 1.27  0.97 1.12 0.92   ;  ;
20171025 014  0.89 1.11 1.52  1.00 1.32 1.83   ;  ;
20171025 015  1.54 1.21 1.22  1.34 1.30 1.37   ;  ;
20171025 016  1.30 1.53 1.35  1.46 1.42 1.36   ;  ;
20171026 010  1.88 1.80 1.78  1.84 1.78 1.94  no parallel - lrs2 server down;  ;
20171026 011  1.73 1.58 1.52  1.91 1.52 1.63   ;  ;
20171026 012  1.65 1.60 1.31  1.70 1.31 1.60   ;  ;
20171026 013  1.65 1.52 1.84  1.52 1.79 1.78   ;  ;
20171026 014  1.88 1.74 2.34  1.78 1.77 1.57   ;  ;
20171026 015  1.68 1.96 2.00  1.78 1.84 1.96   ;  ;
20171026 016  1.98 2.05 2.06  1.61 1.83 1.80   ;  ;
20171027 010  2.09 3.82 3.07  2.60 3.39 3.23  highly variable seeing more then requirements;  ;
20171028 012  0.86 0.81 0.90  0.88 0.90 0.91   ;  ;
20171028 013  0.98 1.00 0.94  0.99 0.90 0.90   ;  ;
20171029 022            1.09       1.09 0.92  wrong intrument configuration;  ;
20171110 003                                  run with iexp;  ;
20171110 004            1.21       1.60 1.35   ;  ;
