201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000017/exp03/virus/20180912T070615.0_105LL_sci.fits HF00547_E 427.14818816 463.081853944 58373.2960074758 0.612667 0 152.978387 148.110969 -110.01107634604 16.3794444444444
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000018/exp03/virus/20180912T073116.5_105LL_sci.fits HF00560_E 368.449565696 404.282142537 58373.3133856915 1.063333 0 152.978387 148.110969 -110.006730645895 16.3338888888889
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000019/exp03/virus/20180912T075404.0_105LL_sci.fits HF00564_E 367.299442432 402.594860251 58373.3292138809 1.333333 0 152.978387 148.110969 -110.01107634604 16.2338888888889
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000020/exp03/virus/20180912T081809.8_105LL_sci.fits HF00184_E 368.24983936 403.756680087 58373.3459474179 1.894667 -0.15 152.978387 148.110969 -110.01107634604 16.2283333333333
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000021/exp03/virus/20180912T084144.9_105LL_sci.fits HF00416_E 367.4477568 403.305597232 58373.3623259556 2.290667 -0.15 152.978387 148.110969 -110.00238494575 16.4038888888889
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000022/exp03/virus/20180912T090514.2_105LL_sci.fits HF00423_E 367.800495104 402.985736301 58373.3786367881 2.416667 -0.15 152.978387 148.110969 -110.006730645895 16.37
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000025/exp03/virus/20180912T095032.3_105LL_sci.fits HF00466_W 367.648817664 402.463086415 58373.4100965853 1.069333 0.32 208.00971 213.096589 -110.006730645895 16.3844444444444
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000026/exp03/virus/20180912T101421.1_105LL_sci.fits HF00488_W 368.10043008 403.332173575 58373.4266333166 1.465333 0.32 208.009629 213.09649 -110.019767746329 16.3888888888889
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000027/exp03/virus/20180912T103809.7_105LL_sci.fits HF00510_W 367.549468928 402.8442808 58373.4431681391 1.861333 0.32 208.00971 213.096589 -109.993693545461 16.6527777777778
201809sci:/work/03946/hetdex/maverick/20180912/virus/virus0000028/exp03/virus/20180912T110145.1_105LL_sci.fits HF00532_W 366.89761536 402.422163735 58373.4595506284 2.257333 0.32 208.00971 213.096589 -110.019767746329 16.7394444444444
201809sci:/work/03946/hetdex/maverick/20180913/virus/virus0000018/exp03/virus/20180913T083524.7_105LL_sci.fits HF00201_E 426.9988928 462.70529626 58374.3579257368 2.200667 -0.15 154.393584 149.833425 -110.015422046185 15.2816666666667
201809sci:/work/03946/hetdex/maverick/20180913/virus/virus0000019/exp03/virus/20180913T090013.8_105LL_sci.fits HF00422_E 367.899044352 402.788238388 58374.3751602112 2.398667 -0.15 154.393584 149.833425 -110.006730645895 15.8772222222222
201809sci:/work/03946/hetdex/maverick/20180913/virus/virus0000021/exp03/virus/20180913T103559.2_105LL_sci.fits HF00401_W 487.800050944 523.558115299 58374.4416578971 2.233333 -0.01 205.436864 209.960847 -110.01107634604 16.195
201809sci:/work/03946/hetdex/maverick/20180913/virus/virus0000022/exp03/virus/20180913T110140.3_105LL_sci.fits HF00408_W 366.800041216 402.559757386 58374.459495272 2.359333 -0.01 205.436864 209.960847 -110.01107634604 16.2661111111111
