yyyymmdd yyyymm specid ifuslot ifuid
20170424 201704 038 096 014
20170424 201704 041 084 015
20170424 201704 047 075 075
20170424 201704 051 105 051
20170424 201704 307 074 076
20170425 201704 008 093 054
20170425 201704 012 106 033
20170425 201704 013 103 019
20170425 201704 016 104 026
20170425 201704 017 086 022
20170425 201704 020 095 004
20170425 201704 024 083 023
20170425 201704 025 076 032
20170425 201704 027 085 001
20170425 201704 032 094 028
20170425 201704 037 073 031
20170425 201704 038 096 014
20170425 201704 041 084 015
20170425 201704 047 075 075
20170425 201704 051 105 051
20170425 201704 307 074 076
20170427 201704 008 093 054
20170427 201704 012 106 033
20170427 201704 013 103 019
20170427 201704 016 104 026
20170427 201704 017 086 022
20170427 201704 020 095 004
20170427 201704 024 083 023
20170427 201704 025 076 032
20170427 201704 027 085 001
20170427 201704 032 094 028
20170427 201704 037 073 031
20170427 201704 038 096 014
20170427 201704 041 084 015
20170427 201704 047 075 075
20170427 201704 051 105 051
20170427 201704 307 074 076
20170428 201704 008 093 054
20170428 201704 012 106 033
20170428 201704 013 103 019
20170428 201704 016 104 026
20170428 201704 017 086 022
20170428 201704 020 095 004
20170428 201704 024 083 023
20170428 201704 025 076 032
20170428 201704 027 085 001
20170428 201704 032 094 028
20170428 201704 037 073 031
20170428 201704 038 096 014
20170428 201704 041 084 015
20170428 201704 047 075 075
20170428 201704 051 105 051
20170428 201704 307 074 076
20170501 201705 008 093 054
20170501 201705 012 106 033
20170501 201705 013 103 019
20170501 201705 016 104 026
20170501 201705 017 086 022
20170501 201705 020 095 004
20170501 201705 024 083 023
20170501 201705 025 076 032
20170501 201705 027 085 001
20170501 201705 032 094 028
20170501 201705 037 073 031
20170501 201705 038 096 014
20170501 201705 041 084 015
20170501 201705 047 075 075
20170501 201705 051 105 051
20170501 201705 307 074 076
20170502 201705 008 093 054
20170502 201705 012 106 033
20170502 201705 013 103 019
20170502 201705 016 104 026
20170502 201705 017 086 022
20170502 201705 020 095 004
20170502 201705 024 083 023
20170502 201705 025 076 032
20170502 201705 027 085 001
20170502 201705 032 094 028
20170502 201705 037 073 031
20170502 201705 038 096 014
20170502 201705 041 084 015
20170502 201705 047 075 075
20170502 201705 051 105 051
20170502 201705 307 074 076
20170503 201705 008 093 054
20170503 201705 012 106 033
20170503 201705 013 103 019
20170503 201705 016 104 026
20170503 201705 017 086 022
20170503 201705 020 095 004
20170503 201705 024 083 023
20170503 201705 025 076 032
20170503 201705 027 085 001
20170503 201705 032 094 028
20170503 201705 037 073 031
20170503 201705 038 096 014
20170503 201705 041 084 015
20170503 201705 047 075 075
20170503 201705 051 105 051
20170503 201705 307 074 076
20170518 201705 008 093 054
20170518 201705 012 106 033
20170518 201705 013 103 019
20170518 201705 016 104 026
20170518 201705 017 086 022
20170518 201705 020 095 004
20170518 201705 024 083 023
20170518 201705 025 076 032
20170518 201705 027 085 001
20170518 201705 032 094 028
20170518 201705 037 073 031
20170518 201705 038 096 014
20170518 201705 041 084 015
20170518 201705 047 075 075
20170518 201705 051 105 051
20170518 201705 307 074 076
20170519 201705 008 093 054
20170519 201705 012 106 033
20170519 201705 013 103 019
20170519 201705 016 104 026
20170519 201705 017 086 022
20170519 201705 020 095 004
20170519 201705 024 083 023
20170519 201705 025 076 032
20170519 201705 027 085 001
20170519 201705 032 094 028
20170519 201705 037 073 031
20170519 201705 038 096 014
20170519 201705 041 084 015
20170519 201705 047 075 075
20170519 201705 051 105 051
20170519 201705 307 074 076
20170522 201705 008 093 054
20170522 201705 012 106 033
20170522 201705 013 103 019
20170522 201705 016 104 026
20170522 201705 017 086 022
20170522 201705 020 095 004
20170522 201705 024 083 023
20170522 201705 025 076 032
20170522 201705 027 085 001
20170522 201705 032 094 028
20170522 201705 037 073 031
20170522 201705 038 096 014
20170522 201705 041 084 015
20170522 201705 047 075 075
20170522 201705 051 105 051
20170522 201705 307 074 076
20170523 201705 008 093 054
20170523 201705 012 106 033
20170523 201705 013 103 019
20170523 201705 016 104 026
20170523 201705 017 086 022
20170523 201705 020 095 004
20170523 201705 024 083 023
20170523 201705 025 076 032
20170523 201705 027 085 001
20170523 201705 032 094 028
20170523 201705 037 073 031
20170523 201705 038 096 014
20170523 201705 041 084 015
20170523 201705 047 075 075
20170523 201705 051 105 051
20170523 201705 307 074 076
20170525 201705 008 093 054
20170525 201705 012 106 033
20170525 201705 013 103 019
20170525 201705 016 104 026
20170525 201705 017 086 022
20170525 201705 020 095 004
20170525 201705 024 083 023
20170525 201705 025 076 032
20170525 201705 027 085 001
20170525 201705 032 094 028
20170525 201705 037 073 031
20170525 201705 038 096 014
20170525 201705 041 084 015
20170525 201705 047 075 075
20170525 201705 051 105 051
20170525 201705 307 074 076
20170527 201705 008 093 054
20170527 201705 012 106 033
20170527 201705 013 103 019
20170527 201705 016 104 026
20170527 201705 017 086 022
20170527 201705 020 095 004
20170527 201705 024 083 023
20170527 201705 025 076 032
20170527 201705 027 085 001
20170527 201705 032 094 028
20170527 201705 037 073 031
20170527 201705 038 096 014
20170527 201705 041 084 015
20170527 201705 047 075 075
20170527 201705 051 105 051
20170527 201705 307 074 076
20170529 201705 008 093 054
20170529 201705 012 106 033
20170529 201705 013 103 019
20170529 201705 016 104 026
20170529 201705 017 086 022
