 -0.067  -0.059   1.251  -0.699   1.247   0.759 20180411 005
  0.012   0.010   1.151  -0.729   1.266   0.720 20180411 006
 -0.020  -0.020   1.281  -0.679   1.168   0.700 20180411 007
 -0.116  -0.012   1.254  -0.727   1.292   0.740 20180411 008
 -0.109  -0.022   1.342  -0.690   1.196   0.711 20180411 009
  0.008  -0.075   1.197  -0.630   1.225   0.704 20180411 010
 -0.012  -0.055   1.218  -0.685   1.223   0.739 20180411 011
  0.052  -0.020   1.144  -0.699   1.235   0.720 20180411 012
 -0.042   0.049   1.239  -0.814   1.232   0.765 20180411 013
  0.018   0.026   1.206  -0.811   1.206   0.785 20180411 014
  0.038   0.012   1.147  -0.617   1.245   0.606 20180411 015
  0.030   0.049   1.272  -0.701   1.128   0.651 20180411 016
  0.115  -0.033   1.287  -0.640   1.029   0.672 20180411 017
  0.066  -0.002   1.230  -0.658   1.133   0.660 20180411 018
 -0.171  -0.030   1.329  -0.841   1.273   0.870 20180412 007
 -0.049  -0.001   1.231  -0.708   1.249   0.708 20180412 008
  0.118   0.013   1.183  -0.678   1.129   0.666 20180412 010
  0.009   0.011   1.226  -0.673   1.196   0.662 20180412 011
 -0.020   0.066   1.201  -0.715   1.249   0.650 20180412 012
 -0.010   0.089   1.265  -0.701   1.174   0.613 20180412 013
 -0.048   0.027   1.267  -0.719   1.211   0.692 20180412 014
 -0.052   0.070   1.288  -0.786   1.194   0.717 20180412 015
  0.082   0.020   1.222  -0.730   1.126   0.709 20180412 016
 -0.021   0.113   1.133  -0.745   1.318   0.632 20180412 018
  0.028  -0.015   1.314  -0.689   1.088   0.705 20180412 019
 -0.075   0.094   1.255  -0.739   1.251   0.645 20180412 020
  0.130  -0.045   1.145  -0.492   1.156   0.537 20180412 021
 -0.171   0.194   1.242  -0.743   1.360   0.548 20180412 022
 -0.024   0.097   1.270  -0.661   1.183   0.563 20180412 023
 -0.063  -0.027   1.304  -0.735   1.189   0.761 20180413 006
  0.096  -0.016   1.143  -0.568   1.192   0.583 20180413 007
 -0.051   0.008   1.193  -0.683   1.287   0.674 20180414 005
  0.023   0.002   1.193  -0.769   1.213   0.767 20180414 006
  0.059   0.042   1.197  -0.684   1.174   0.643 20180414 007
  0.067  -0.013   1.203  -0.622   1.160   0.636 20180414 008
  0.022   0.059   1.131  -0.710   1.278   0.651 20180414 009
  0.042   0.014   1.182  -0.564   1.206   0.550 20180414 010
 -0.036   0.001   1.192  -0.613   1.273   0.611 20180414 011
  0.075   0.017   1.182  -0.665   1.172   0.647 20180414 012
  0.030   0.002   1.218  -0.668   1.183   0.666 20180414 013
  0.801   0.022   0.893  -0.029   0.737   0.006 20180415 008
  0.715   0.001   0.894   0.002   0.822  -0.003 20180415 009
  0.731  -0.032   0.850   0.005   0.848   0.027 20180415 010
  0.710  -0.005   0.921  -0.006   0.800   0.010 20180415 011
  0.740  -0.020   0.848   0.006   0.842   0.014 20180415 012
  0.750   0.009   0.825  -0.011   0.854   0.001 20180415 013
 -0.101   0.220   1.170  -0.721   1.362   0.502 20180415 016
  0.765   0.013   0.810  -0.007   0.854  -0.005 20180415 017
  0.786  -0.007   0.852  -0.007   0.792   0.013 20180415 018
