multiframe start_shot stop_shot num_shots mf_ifu done id
multi_027_098_001_RL 20190401v016 20240731v009 5649 multi_027_098_001 False 320
multi_027_098_001_RU 20190401v016 20240731v009 5649 multi_027_098_001 False 321
multi_203_086_031_LL 20190401v016 20240731v009 5618 multi_203_086_031 False 322
multi_203_086_031_LU 20190401v016 20240731v009 5671 multi_203_086_031 False 323
multi_307_085_076_RU 20190401v016 20240731v009 5668 multi_307_085_076 False 324
multi_203_086_031_RL 20190401v016 20240731v009 5671 multi_203_086_031 False 325
multi_204_087_037_LL 20190401v016 20240731v009 5668 multi_204_087_037 False 326
multi_204_087_037_LU 20190401v016 20240731v009 5668 multi_204_087_037 False 327
multi_204_087_037_RL 20190401v016 20240731v009 5666 multi_204_087_037 False 328
multi_329_088_029_RU 20190401v016 20240731v009 5663 multi_329_088_029 False 329
multi_205_091_058_LL 20190401v016 20240731v009 5634 multi_205_091_058 False 330
multi_205_091_058_LU 20190401v016 20240731v009 5645 multi_205_091_058 False 331
multi_205_091_058_RL 20190401v016 20240731v009 5649 multi_205_091_058 False 332
multi_205_091_058_RU 20190401v016 20240731v009 5649 multi_205_091_058 False 333
multi_307_085_076_LL 20190401v016 20240731v009 5668 multi_307_085_076 False 334
multi_307_085_076_LU 20190401v016 20240731v009 5668 multi_307_085_076 False 335
multi_203_086_031_RU 20190401v016 20240731v009 5671 multi_203_086_031 False 336
multi_324_075_055_RL 20190423v006 20240731v009 5544 multi_324_075_055 False 337
multi_324_075_055_RU 20190423v006 20240731v009 5561 multi_324_075_055 False 338
multi_324_075_055_LL 20190423v006 20240731v009 5551 multi_324_075_055 False 339
multi_324_075_055_LU 20190423v006 20240731v009 5561 multi_324_075_055 False 340
multi_405_072_060_LL 20190524v016 20240731v009 5289 multi_405_072_060 False 341
multi_405_072_060_LU 20190524v016 20240731v009 5289 multi_405_072_060 False 342
multi_405_072_060_RL 20190524v016 20240731v009 5289 multi_405_072_060 False 343
multi_405_072_060_RU 20190524v016 20240731v009 5289 multi_405_072_060 False 344
multi_404_073_071_LL 20190607v014 20240730v008 5325 multi_404_073_071 False 345
multi_404_073_071_LU 20190607v014 20240731v009 5329 multi_404_073_071 False 346
multi_404_073_071_RL 20190607v014 20240731v009 5329 multi_404_073_071 False 347
multi_404_073_071_RU 20190607v014 20240731v009 5329 multi_404_073_071 False 348
multi_407_041_021_RL 20190720v014 20240731v009 5203 multi_407_041_021 False 349
